,m,n,r
48,"(_123:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07\u0e0b\u0e31\u0e1a\u0e43\u0e19', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})",(_67)-[:sub_category {}]->(_123)
49,"(_122:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e02\u0e49\u0e32\u0e07\u0e43\u0e19', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})",(_67)-[:sub_category {}]->(_122)
50,"(_109:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07\u0e02\u0e32\u0e22\u0e32\u0e27', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})",(_67)-[:sub_category {}]->(_109)
51,"(_108:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e25\u0e01\u0e01\u0e34\u0e49\u0e07', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})",(_67)-[:sub_category {}]->(_108)
52,"(_107:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07\u0e43\u0e19', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})",(_67)-[:sub_category {}]->(_107)
53,"(_74:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07\u0e02\u0e32\u0e2a\u0e31\u0e49\u0e19', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})",(_67)-[:sub_category {}]->(_74)
54,"(_73:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07\u0e01\u0e23\u0e30\u0e0a\u0e31\u0e1a\u0e2a\u0e48\u0e27\u0e19', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})",(_67)-[:sub_category {}]->(_73)
55,"(_613:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e19\u0e2d\u0e01'})","(_75:Entity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29'})",(_75)-[:sub_entity {}]->(_613)
56,"(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_75:Entity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29'})",(_75)-[:sub_entity {}]->(_143)
57,"(_567:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_83:Entity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_83)-[:sub_entity {}]->(_567)
58,"(_213:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07'})","(_83:Entity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_83)-[:sub_entity {}]->(_213)
59,"(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_83:Entity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_83)-[:sub_entity {}]->(_67)
60,"(_206:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27\u0e01\u0e23\u0e2d\u0e21\u0e40\u0e17\u0e49\u0e32', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_206)
61,"(_205:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e04\u0e25\u0e38\u0e21\u0e40\u0e02\u0e48\u0e32', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_205)
62,"(_157:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27\u0e04\u0e25\u0e38\u0e21\u0e40\u0e02\u0e48\u0e32\u0e40\u0e25\u0e47\u0e01\u0e19\u0e49\u0e2d\u0e22', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_157)
63,"(_156:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27\u0e04\u0e25\u0e38\u0e21\u0e40\u0e02\u0e48\u0e32', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_156)
64,"(_155:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_155)
65,"(_135:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27\u0e16\u0e36\u0e07\u0e02\u0e49\u0e2d\u0e40\u0e17\u0e49\u0e32', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_135)
66,"(_134:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27\u0e25\u0e32\u0e01\u0e1e\u0e37\u0e49\u0e19', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_134)
67,"(_118:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27\u0e1b\u0e23\u0e30\u0e21\u0e32\u0e13\u0e04\u0e23\u0e36\u0e48\u0e07\u0e41\u0e02\u0e49\u0e07,\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27\u0e1b\u0e23\u0e30\u0e21\u0e32\u0e13\u0e04\u0e23\u0e36\u0e48\u0e07\u0e19\u0e48\u0e2d\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_118)
68,"(_117:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e2a\u0e31\u0e49\u0e19\u0e02\u0e49\u0e32\u0e07\u0e22\u0e32\u0e27\u0e02\u0e49\u0e32\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_117)
69,"(_116:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e22\u0e32\u0e27\u0e16\u0e36\u0e07\u0e02\u0e49\u0e2d\u0e40\u0e17\u0e49\u0e32', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_116)
70,"(_115:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e2a\u0e31\u0e49\u0e19\u0e40\u0e2b\u0e19\u0e37\u0e2d\u0e2b\u0e31\u0e27\u0e40\u0e02\u0e48\u0e32,\u0e21\u0e34\u0e19\u0e34\u0e2a\u0e40\u0e01\u0e34\u0e23\u0e4c\u0e15', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})","(_88:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e04\u0e27\u0e32\u0e21\u0e22\u0e32\u0e27'})",(_88)-[:lenght {}]->(_115)
71,"(_120:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e1a\u0e23\u0e32,\u0e40\u0e01\u0e32\u0e30\u0e2d\u0e01,\u0e22\u0e01\u0e17\u0e23\u0e07', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e43\u0e19'})","(_105:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e43\u0e19'})",(_105)-[:sub_category {}]->(_120)
72,"(_68:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e01\u0e23\u0e30\u0e0a\u0e31\u0e1a\u0e2a\u0e48\u0e27\u0e19', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e43\u0e19'})","(_105:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e43\u0e19'})",(_105)-[:sub_category {}]->(_68)
73,"(_572:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e40\u0e2d\u0e27\u0e2a\u0e39\u0e07', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})","(_129:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})",(_129)-[:waistline {}]->(_572)
74,"(_158:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e40\u0e2d\u0e27\u0e2a\u0e21\u0e47\u0e2d\u0e04', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})","(_129:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})",(_129)-[:waistline {}]->(_158)
75,"(_136:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e40\u0e2d\u0e27\u0e22\u0e37\u0e14,\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e40\u0e2d\u0e27\u0e22\u0e32\u0e07\u0e22\u0e37\u0e14', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})","(_129:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})",(_129)-[:waistline {}]->(_136)
76,"(_119:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e40\u0e2d\u0e27\u0e01\u0e25\u0e32\u0e07', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})","(_129:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})",(_129)-[:waistline {}]->(_119)
77,"(_94:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e40\u0e2d\u0e27\u0e08\u0e35\u0e1a', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})","(_129:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})",(_129)-[:waistline {}]->(_94)
78,"(_93:SubBottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Subcategory: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e40\u0e2d\u0e27\u0e15\u0e48\u0e33', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})","(_129:Bottom_Entity {Bottom_Entity: '\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07', Type: '\u0e23\u0e30\u0e14\u0e31\u0e1a\u0e40\u0e2d\u0e27'})",(_129)-[:waistline {}]->(_93)
79,"(_219:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e04\u0e32\u0e27\u0e1a\u0e2d\u0e22', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_219)
80,"(_218:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e25\u0e32\u0e22\u0e14\u0e2d\u0e01, \u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e2e\u0e32\u0e27\u0e32\u0e22', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_218)
81,"(_217:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e40\u0e0a\u0e34\u0e49\u0e15, \u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e40\u0e0a\u0e34\u0e15', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_217)
82,"(_186:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e40\u0e08\u0e2d\u0e23\u0e4c\u0e0b\u0e35\u0e48', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_186)
83,"(_185:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e01\u0e25\u0e49\u0e32\u0e21', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_185)
84,"(_184:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1e\u0e39\u0e25\u0e42\u0e2d\u0e40\u0e27\u0e2d\u0e23\u0e4c, \u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e41\u0e1a\u0e1a\u0e2a\u0e27\u0e21', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_184)
85,"(_128:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e15\u0e01\u0e1b\u0e25\u0e32', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_128)
86,"(_127:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e2b\u0e21\u0e49\u0e2d\u0e2e\u0e48\u0e2d\u0e21, \u0e21\u0e48\u0e2d\u0e2e\u0e48\u0e2d, \u0e21\u0e48\u0e2d\u0e2e\u0e48\u0e2d\u0e21', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_127)
87,"(_126:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e42\u0e1b\u0e42\u0e25', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_126)
