,m,n,r
12,"(_563:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e34\u0e1f\u0e15\u0e4c'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_563)
13,"(_340:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e04\u0e19\u0e2d\u0e27\u0e1a'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_340)
14,"(_339:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e01\u0e31\u0e19\u0e2b\u0e19\u0e32\u0e27'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_339)
15,"(_323:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e40\u0e2d\u0e35\u0e49\u0e22\u0e21\u0e2b\u0e21\u0e35'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_323)
16,"(_211:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e2a\u0e25\u0e34\u0e1b'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_211)
17,"(_210:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e17\u0e35\u0e48\u0e17\u0e32\u0e07\u0e01\u0e32\u0e23'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_210)
18,"(_104:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e1a\u0e34\u0e01\u0e34\u0e19\u0e35'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_104)
19,"(_103:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e17\u0e23\u0e07\u0e40\u0e2d\u0e1a\u0e32\u0e19'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_103)
20,"(_85:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e2b\u0e21\u0e35'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_85)
21,"(_84:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e41\u0e15\u0e48\u0e07\u0e07\u0e32\u0e19'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_84)
